#,Chat #,Kennung,Startzeit: Datum,Startzeit: Zeit,Letzte Aktivität: Datum,Letzte Aktivität: Zeit,Name,Beschreibung,Teilnehmer,Anzahl der Anhänge,Quelle,Konto,Gelöschte - Chat,Tag-Hinweis - Chat,Rekonstruiert,Manuell decodiert,Instant Message #,Von,An,Zeitstempel der Teilnehmer,Cc,Bcc,Priorität,Betreff,Text,Status,Plattform,Label,Ort,Zeitstempel: Datum,Zeitstempel: Zeit,Zugestellt: Datum,Zugestellt: Zeit,Gelesen: Datum,Gelesen: Zeit,Deletion Date: Datum,Deletion Date: Zeit,Anhang #1,Anhang #1 - Details,Gelöschte - Instant Message,Tag-Hinweis - Instant Message,Quelldatei-Informationen,Mit Sternchen markierte Nachricht,Mitteilung Rekonstruiert,Mitteilung Manuell decodiert
1,1,4915225737497@s.whatsapp.net,17.12.2022,17.12.2022 20:01:00(UTC+1),19.12.2022,19.12.2022 11:49:24(UTC+1),,,"4915225737497@s.whatsapp.net Helmut Franz 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",,WhatsApp,491756643753@s.whatsapp.net,,,,,1,4915225737497@s.whatsapp.net Helmut Franz,,,,,,,Moin Siggi, lang nichts gehört. Wie gehts dir?,,Mobile,,,17.12.2022,17.12.2022 20:01:00(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x1576F (Tabelle: message, Größe: 436752 Bytes)
11,7,3,07.12.2022,07.12.2022 12:22:56(UTC+1),07.12.2022,07.12.2022 12:22:59(UTC+1),,,"(Eigentümer) Unbekannt 
+4915225737497 Helmut Franz 
",,Native Messages,,,,,,1,,"+4915225737497 Helmut Franz 
","+4915225737497 Helmut Franz 
",,,,,Moin, wie geht's? Lange nichts von dir gehört...,Gesendet,Unknown,,,07.12.2022,07.12.2022 12:22:59(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.android.providers.telephony/databases/mmssms.db-wal : 0x14AD72 (Tabelle: sms, Größe: 1388472 Bytes)",Nein,,
12,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,1,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,,,Mobile,,,06.12.2022,06.12.2022 14:49:06(UTC+1),,,,,,,IMG-20221206-WA0000.jpg,"...guck, das meinte ich eben!
https://mmg.whatsapp.net/d/f/AvtVaHcmHnNpwBDKy0bq2_9qCkyqAUnKTypf5h_gWtCo.enc
",,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CE68 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x17ACF (Tabelle: message_media, Größe: 436752 Bytes)
userdata (ExtX)/Root/media/0/WhatsApp/Media/WhatsApp Images/IMG-20221206-WA0000.jpg :  (Größe: 279988 Bytes)",Nein,,
13,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,2,System Message System Message,,,,,,,🔒 Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more,,Mobile,"System
",,06.12.2022,06.12.2022 14:49:07(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CE27 (Tabelle: message, Größe: 1150976 Bytes)",Nein,,
14,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,3,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Stimmt. War echt ein toller Urlaub 😄,Gelesen,Mobile,,,06.12.2022,06.12.2022 14:51:32(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CECC (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
15,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,4,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Nächstes Jahr nehmen wir Bosse dann mit,Gelesen,Mobile,,,06.12.2022,06.12.2022 14:51:53(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CF39 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
16,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,5,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Ja total, wir könnten den ja demnächst planen? Bin grade wieder flüssig,,Mobile,,,06.12.2022,06.12.2022 14:52:15(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CFA8 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
17,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,6,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Wie wärs mit Schweden?,,Mobile,,,06.12.2022,06.12.2022 14:52:34(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DFDB (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
18,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,7,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Wär cool,Gelesen,Mobile,,,06.12.2022,06.12.2022 14:52:55(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DF8D (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
19,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,8,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Sollte finanziell dann wiede rpassen,Gelesen,Mobile,,,06.12.2022,06.12.2022 14:53:17(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DF23 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
20,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,9,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Dann haben wir nen Plan, können uns ja schon mal nach Unterkünften umschauen, die hundefreundlich sind,,Mobile,,,06.12.2022,06.12.2022 14:53:44(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DE74 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
21,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,10,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Vielleicht eine Hütte in den Schären,Gelesen,Mobile,,,06.12.2022,06.12.2022 14:54:08(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DE07 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
22,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,11,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Oh yes,,Mobile,,,06.12.2022,06.12.2022 14:54:15(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DDBA (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
23,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,12,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Das wird nice,,Mobile,,,06.12.2022,06.12.2022 14:54:27(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DD67 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
24,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,13,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,,,Mobile,,,06.12.2022,06.12.2022 14:55:54(UTC+1),,,,,,,IMG-20221206-WA0001.jpg,"https://www.ferienhaus-schweden.de/ferienhaeuser-schweden/ferienhaus-schaerenkueste-vor-stockholm.html
https://mmg.whatsapp.net/d/f/AvT5iYU3IyHROHvT6LB6yaUzgsdRec3AWTwDNmsknYi5.enc
",,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DCBB (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x17CF8 (Tabelle: message_media, Größe: 436752 Bytes)
userdata (ExtX)/Root/media/0/WhatsApp/Media/WhatsApp Images/IMG-20221206-WA0001.jpg :  (Größe: 126832 Bytes)",Nein,,
25,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,14,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Finde das chic...,,Mobile,,,06.12.2022,06.12.2022 14:55:59(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DC62 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
26,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,15,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Am see ist schon cool, aber auch sehr teuer...,Gelesen,Mobile,,,06.12.2022,06.12.2022 14:58:35(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DBEF (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
27,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,16,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,https://www.ferienhaus-smaland.de/ferienhaeuser/#/details/1674388,Gelesen,Mobile,,,06.12.2022,06.12.2022 14:58:39(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DB68 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
28,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,17,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Was hältst du von dem?,Gelesen,Mobile,,,06.12.2022,06.12.2022 14:58:54(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DB09 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
29,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,18,4915206056844@s.whatsapp.net Hazel Hartley,,,,,,,Auch sehr cool, das Grundstück sieht gut aus für ein Hund!,,Mobile,,,06.12.2022,06.12.2022 15:01:06(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DA86 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5B21 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
30,8,4915206056844@s.whatsapp.net,06.12.2022,06.12.2022 14:49:06(UTC+1),16.12.2022,16.12.2022 13:47:06(UTC+1),,,"4915206056844@s.whatsapp.net Hazel Hartley 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",2,WhatsApp,491756643753@s.whatsapp.net,,,,,19,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Dachte ich auch,Gelesen,Mobile,,,06.12.2022,06.12.2022 19:45:59(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D7B8 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
